t,x,y,i
1,32180,831927.86544688,1
2,32226,829018.063422301,1
3,32246,829143.968433695,1
4,32278,830107.347406862,1
5,32278,832173.928885166,1
6,32307,830379.564771839,1
7,32337,832289.745908287,1
8,32362,831808.108020319,1
9,32409,833243.293010237,1
10,32453,831618.321226457,1
11,32504,834779.58998196,1
12,32517,835579.034511392,1
13,32547,841363.467812827,1
14,32564,835773.806423868,1
15,32601,840223.010514781,1
16,32663,842086.760556241,1
17,32701,839846.952204978,1
18,32782,841976.200302894,1
19,32793,842350.98268631,1
20,32866,843545.56314776,1
21,32883,844620.265308103,1
22,32921,845269.177433174,1
23,32979,846997.583395094,1
24,32981,846309.835305632,1
25,32988,848263.439184857,1
26,33052,847935.752023934,1
27,33135,851503.326253698,1
28,33199,853493.889785779,1
29,33259,856834.22028773,1
30,33310,858227.146236789,1
31,33344,856904.159689056,1
32,33377,858238.6154715,1
33,33379,859670.42848328,1
34,33417,859929.279723376,1
35,33461,861560.035689063,1
36,33518,862986.088708449,1
37,33547,863618.132668604,1
38,33572,860593.675259822,1
39,33640,868312.924346352,1
40,33720,865408.866480438,1
41,33798,869973.96657452,1
42,33801,869229.13513705,1
43,33853,870172.138917823,1
44,33894,872950.454193292,1
45,33954,869706.860628567,1
46,34029,874788.980984061,1
47,34057,877226.942451281,1
48,34087,875145.37101609,1
49,34103,877966.135397709,1
50,34145,876208.548968061,1
51,34195,878745.945254876,1
52,34257,880053.44848299,1
53,34305,880897.792485132,1
54,34392,886754.665954933,1
55,34466,884898.619269643,1
56,34495,887500.843387828,1
57,34521,887600.598126741,1
58,34606,886589.230524801,1
59,34663,891456.287358008,1
60,34694,890161.088400141,1
61,34706,893757.323940034,1
62,34736,893278.29416211,1
63,34747,894763.005079285,1
64,34769,893291.644077216,1
65,34788,894088.820947717,1
66,34846,895049.55927877,1
67,34913,898544.713615713,1
68,34992,900149.731985848,1
69,35009,902339.260514574,1
70,35085,898153.819004287,1
71,35097,902937.402408673,1
72,35106,902838.756415741,1
73,35184,903775.102105622,1
74,35199,901635.611352144,1
75,35251,907117.71828695,1
76,35278,905169.897161992,1
77,35336,909004.813604539,1
78,35364,910031.430782505,1
79,35377,909877.750762188,1
80,35391,911759.740723687,1
81,35470,911087.636565938,1
82,35550,912993.742961089,1
83,35624,917659.748390993,1
84,35694,917492.287540387,1
85,35763,920042.92062147,1
86,35769,920035.421525704,1
87,35823,919971.15703365,1
88,35863,920914.141772241,1
89,35913,924412.409908724,1
90,35977,925607.021304981,1
91,36026,924811.351688119,1
92,36050,926940.15797142,1
93,36054,926310.673270327,1
94,36073,928716.111540461,1
95,36111,924963.231446922,1
96,36183,927737.879923676,1
97,36226,930308.759106593,1
98,36299,933478.32036009,1
99,36386,937436.361157934,1
100,36412,936373.514750589,1
101,36449,936105.522950048,1
102,36501,936808.949227418,1
103,36544,940293.423596884,1
104,36597,940012.115125646,1
105,36636,942697.313760115,1
106,36637,940270.238109282,1
107,36670,944042.855736803,1
108,36695,943562.64203993,1
109,36771,946021.313483849,1
110,36774,944727.495711912,1
111,36810,946324.502932098,1
112,36853,948899.447460117,1
113,36855,950471.785214373,1
114,36883,949026.664620903,1
115,36926,946754.480732196,1
116,36979,951528.974896662,1
117,37024,952853.559019351,1
118,37026,949858.598196264,1
119,37036,948991.965807022,1
120,37116,951632.922979176,1
121,37141,956508.106564937,1
122,37147,957511.83906964,1
123,37225,956002.391033286,1
124,37252,957898.874610197,1
125,37252,956457.730362374,1
126,37331,958521.546567262,1
127,37417,959680.933188944,1
128,37455,960781.583103084,1
129,37473,961908.134973051,1
130,37487,963592.160731655,1
131,37504,966444.968367947,1
132,37565,963456.103058224,1
133,37618,965091.400288268,1
134,37623,966198.861628443,1
135,37627,967435.539815721,1
136,37647,966514.297697514,1
137,37690,971377.369112604,1
138,37776,970162.378259532,1
139,37785,968648.121035931,1
140,37853,972231.350900692,1
141,37910,975170.424710202,1
142,37975,977034.463700788,1
143,38026,976520.364034279,1
144,38058,975069.691884912,1
145,38145,981045.578885007,1
146,38207,982054.402860432,1
147,38263,987211.105939541,1
148,38296,985925.280263333,1
149,38356,983986.973771124,1
150,38399,986221.32716437,1
151,38399,984306.988886951,1
152,38478,987214.043074458,1
153,38534,988153.248840666,1
154,38571,989547.193018731,1
155,38599,994521.220703689,1
156,38645,994981.684213778,1
157,38680,994561.414505484,1
158,38726,993180.843356235,1
159,38732,994828.290483392,1
160,38760,999639.496541403,1
161,38807,999430.696157445,1
162,38820,1000075.64636205,1
163,38893,999257.922973013,1
164,38896,1000008.69041284,1
165,38949,999742.970620568,1
166,38980,999643.949650574,1
167,39062,1002410.25636127,1
168,39146,1005491.16283771,1
169,39200,1006923.69139976,1
170,39281,1011164.29437719,1
171,39358,1010854.33964395,1
172,39410,1016952.39155198,1
173,39490,1014907.29560308,1
174,39500,1013783.91924725,1
175,39538,1016674.12039562,1
176,39576,1017888.39974412,1
177,39628,1017896.02970777,1
178,39643,1017173.47632195,1
179,39650,1019081.95593686,1
180,39734,1019948.62970667,1
181,39740,1022502.31488291,1
182,39745,1021203.26932497,1
183,39749,1022483.55430692,1
184,39814,1019629.4624628,1
185,39875,1024729.92549203,1
186,39934,1026549.539375,1
187,39955,1029199.64754545,1
188,39961,1028964.11425648,1
189,39988,1026964.17000571,1
190,40012,1026872.88633986,1
191,40078,1029551.99840746,1
192,40090,1030852.75493765,1
193,40090,1032327.71604633,1
194,40094,1029682.36768425,1
195,40122,1034611.08686102,1
196,40178,1032855.20421651,1
197,40207,1034879.03949187,1
198,40267,1036978.07733913,1
199,40294,1035339.47555158,1
200,40361,1037616.85154427,1
201,40415,1038167.96027126,1
202,40484,1040655.94033078,1
203,40548,1041755.37693491,1
204,40578,1041639.27439192,1
205,40655,1042117.08751802,1
206,40723,1045413.50246714,1
207,40752,1048292.27773058,1
208,40754,1048144.99692482,1
209,40820,1047459.1115793,1
210,40889,1050844.73441863,1
211,40947,1051305.78158639,1
212,40962,1050945.10883934,1
213,40989,1053988.57625276,1
214,41019,1053641.18408471,1
215,41045,1052954.34699095,1
216,41113,1057459.67855919,1
217,41145,1059155.72660158,1
218,41186,1061274.70335649,1
219,41219,1057819.42550914,1
220,41239,1059781.43546186,1
221,41242,1059576.31829854,1
222,41292,1062724.90588215,1
223,41358,1064298.18895198,1
224,41420,1064222.71896307,1
225,41423,1062985.92756719,1
226,41427,1067442.52055747,1
227,41437,1064617.55970365,1
228,41512,1067270.12610115,1
229,41589,1068197.38855566,1
230,41592,1069384.0196266,1
231,41672,1073831.07160473,1
232,41724,1071371.3170826,1
233,41732,1073856.56579244,1
234,41767,1073133.91289274,1
235,41845,1075348.46003186,1
236,41874,1076638.521865,1
237,41956,1079854.39408243,1
238,42025,1079316.56969344,1
239,42041,1080804.36153242,1
240,42066,1080148.34727457,1
241,42126,1079414.39279536,1
242,42187,1087287.04717684,1
243,42242,1087666.70159962,1
244,42265,1086828.39778249,1
245,42349,1090334.02817875,1
246,42349,1086228.72298452,1
247,42410,1088393.42689767,1
248,42428,1091573.76953279,1
249,42479,1088916.87634475,1
250,42524,1092525.96273152,1
251,42565,1092153.38165108,1
252,42590,1093093.60593508,1
253,42596,1097060.65217129,1
254,42606,1094233.13530121,1
255,42635,1098897.02151723,1
256,42717,1097578.07900841,1
257,42736,1096377.43521968,1
258,42815,1100943.67606524,1
259,42883,1101721.51525053,1
260,42912,1103011.9263013,1
261,42990,1103824.24965891,1
262,43016,1108386.63077117,1
263,43082,1107061.58745752,1
264,43159,1108723.39398965,1
265,43226,1110726.54967075,1
266,43264,1111844.51983559,1
267,43341,1112868.43156557,1
